csvall1,csvall2,csvall3,csvall4,csvall5,csvall6,csvall7,csvall8,csvall9,csvall10,csvall11,csvall12,csvall13,csvall14
5.42752327642665,5.62136432000131,5.4699064719459,5.68428771794241,5.65015711107314,5.5715345302227,5.97929673017374,5.98516592367873,5.93206653681485,5.95059581373864,5.79680511588664,5.98258027441583,5.98489694036397,6.27630508794099
5.85753037372423,6.09535676099392,5.94709833586108,6.18092862222467,6.15550171380876,6.05336293505193,6.42663094356904,6.4495532641287,6.41878775931382,6.45846404818375,6.26776165321351,6.41819005171361,6.44163294450059,6.71789458295597
6.42284826349005,6.71890035809422,6.59856485881665,6.83968610801904,6.86823582856874,6.67259338435783,6.99735971213495,7.05490836811514,7.05047351461803,7.126899701923,6.89442936576238,6.9984591162951,7.02699178295224,7.27667891004248
6.84454477517704,7.18504591540339,7.10336911264553,7.33681119251914,7.42313413822916,7.12615607344301,7.39811487648829,7.49507285307595,7.51626330382232,7.62678324975339,7.36727294554201,7.4351344087454,7.45279491510858,7.6767418681455
7.25975417393233,7.64516885945082,7.61704720523628,7.83173281341278,7.98388815542662,7.56658427484296,7.76819571328229,7.91615162635017,7.9705959715874,8.12033252218339,7.83733930977888,7.86760423341596,7.86313607642165,8.05657076601816
7.79788891764583,8.24343627948354,8.30879783904365,8.48182625354171,8.72876380734089,8.1288141445284,8.21076950743159,8.44211998284634,8.55321476760606,8.76223137022754,8.45332509690034,8.43140158367072,8.38191924940966,8.52825318996075
8.19666082936642,8.68826716582846,8.84143949964786,8.97019428754121,9.29301129401677,8.53933831296401,8.51234717386018,8.8170786432332,8.98043475937451,9.23962340175684,8.9148255107341,8.85146804439339,8.75690914074885,8.86301195380963
8.58827901582528,9.12641605159909,9.38209706091115,9.45553159689996,9.85712825437692,8.93748427532522,8.7876023622863,9.17301766979893,9.39623488637797,9.70994334078491,9.37233880261836,9.26586185668079,9.1173847306134,9.1797515932742
9.09511918020163,9.69545011498405,10.1091912199569,10.0924158036587,10.6021066332828,9.44539779167572,9.11469020663712,9.61575434081115,9.92880475717129,10.3209061962395,9.97096415531764,9.80494089632236,9.57250696541097,9.57235405317081
9.47045313747907,10.1183161446822,10.668694239631,10.5706442453062,11.1649039601723,9.81614569909161,9.33691024638005,9.93075836105784,10.3191078116657,10.7750399633335,10.419141042282,10.2061913931592,9.90127303435889,9.85074560757544
