year,month,day,flow,ss,ht,rain
1980,3,5,5.776,NaN,NaN,NaN
1980,3,6,1.28,NaN,NaN,NaN
1980,3,7,0.485,NaN,NaN,NaN
1980,3,8,6.351,NaN,NaN,NaN
1980,3,9,1.702,NaN,NaN,NaN
1980,3,10,0.736,NaN,NaN,NaN
1980,3,11,0.576,NaN,NaN,NaN
1980,3,12,0.633,NaN,NaN,NaN
1980,3,13,0.388,NaN,NaN,NaN
1980,3,14,0.586,NaN,NaN,NaN
1980,3,15,12.732,NaN,NaN,NaN
1980,3,16,1.654,NaN,NaN,NaN
1980,3,17,0.708,NaN,NaN,NaN
1980,3,18,0.54,NaN,NaN,NaN
1980,3,19,0.324,NaN,NaN,NaN
1980,3,20,0.367,NaN,NaN,NaN
1980,3,21,0.358,NaN,NaN,NaN
1980,3,22,0.332,NaN,NaN,NaN
1980,3,23,0.349,NaN,NaN,NaN
1980,3,24,0.368,NaN,NaN,NaN
1980,3,25,0.363,NaN,NaN,NaN
1980,3,26,0.351,NaN,NaN,NaN
1980,3,27,0.272,NaN,NaN,NaN
1980,3,28,0.243,NaN,NaN,NaN
1980,3,29,0.241,NaN,NaN,NaN
1980,3,30,0.237,NaN,NaN,NaN
1980,3,31,0.73,NaN,NaN,NaN
1980,4,1,0.461,NaN,NaN,NaN
1980,4,2,0.498,NaN,NaN,NaN
1980,4,3,0.376,NaN,NaN,NaN
1980,4,4,0.254,NaN,NaN,NaN
1980,4,5,0.241,NaN,NaN,NaN
1980,4,6,0.382,NaN,NaN,NaN
1980,4,7,0.661,NaN,NaN,NaN
1980,4,8,0.271,NaN,NaN,NaN
1980,4,9,0.452,NaN,NaN,NaN
1980,4,10,0.594,NaN,NaN,NaN
1980,4,11,0.369,NaN,NaN,NaN
1980,4,12,0.292,NaN,NaN,NaN
1980,4,13,0.257,NaN,NaN,NaN
1980,4,14,0.243,NaN,NaN,NaN
1980,4,15,0.244,NaN,NaN,NaN
1980,4,16,0.232,NaN,NaN,NaN
1980,4,17,0.234,NaN,NaN,NaN
1980,4,18,0.227,NaN,NaN,NaN
1980,4,19,0.232,NaN,NaN,NaN
1980,4,20,0.218,NaN,NaN,NaN
1980,4,21,0.218,NaN,NaN,NaN
1980,4,22,0.337,NaN,NaN,NaN
1980,4,23,0.232,NaN,NaN,NaN
1980,4,24,0.216,NaN,NaN,NaN
1980,4,25,0.216,NaN,NaN,NaN
1980,4,26,0.205,NaN,NaN,NaN
1980,4,27,0.519,NaN,NaN,NaN
1980,4,28,0.228,NaN,NaN,NaN
1980,4,29,0.211,NaN,NaN,NaN
1980,4,30,0.215,NaN,NaN,NaN
1980,5,1,0.203,NaN,NaN,NaN
1980,5,2,0.198,NaN,NaN,NaN
1980,5,3,0.195,NaN,NaN,NaN
1980,5,4,0.196,NaN,NaN,NaN
1980,5,5,0.226,NaN,NaN,NaN
1980,5,6,0.197,NaN,NaN,NaN
1980,5,7,0.192,NaN,NaN,NaN
1980,5,8,0.192,NaN,NaN,NaN
1980,5,9,0.188,NaN,NaN,NaN
1980,5,10,0.186,NaN,NaN,NaN
1980,5,11,0.185,NaN,NaN,NaN
1980,5,12,0.181,NaN,NaN,NaN
1980,5,13,0.18,NaN,NaN,NaN
1980,5,14,0.183,NaN,NaN,NaN
1980,5,15,0.267,NaN,NaN,NaN
1980,5,16,0.363,NaN,NaN,NaN
1980,5,17,0.184,NaN,NaN,NaN
1980,5,18,0.724,NaN,NaN,NaN
1980,5,19,0.367,NaN,NaN,NaN
1980,5,20,0.188,NaN,NaN,NaN
1980,5,21,0.507,NaN,NaN,NaN
1980,5,22,0.328,NaN,NaN,NaN
1980,5,23,0.207,NaN,NaN,NaN
1980,5,24,0.185,NaN,NaN,NaN
1980,5,25,0.195,NaN,NaN,NaN
1980,5,26,0.294,NaN,NaN,NaN
1980,5,27,0.187,NaN,NaN,NaN
1980,5,28,0.18,NaN,NaN,NaN
1980,5,29,0.175,NaN,NaN,NaN
1980,5,30,0.174,NaN,NaN,NaN
1980,5,31,0.173,NaN,NaN,NaN
1980,6,1,0.238,NaN,NaN,NaN
1980,6,2,0.252,NaN,NaN,NaN
1980,6,3,0.309,NaN,NaN,NaN
1980,6,4,1.008,NaN,NaN,NaN
